dataset,label,theta,r2_multi,s1_multi,r1_multi,s1_support,graph_binary,graph_weighted,Phi,accept,Phi_real_start,Phi_random_start,Phi_sd,two_start_gap,n_chains,n_steps,sweeps,projection_fixed,real_r2_multi,real_s1_multi,real_r1_multi,real_s1_support,real_graph_binary,real_graph_weighted,n_events,n_teams,pct_dup,theta_hat
fauci,Fauci email,0.0,0.03390522875816993,0.07107843137254902,0.0024509803921568627,0.0763312662190108,0.20253164556962025,0.1770186335403727,13.83333333333333,1.0,12.66666666666667,14.999999999999993,1.9930434571835653,0.15555555555555495,6,2000000,1552.7950310559006,True,0.1389433551198257,0.2965686274509804,0.029411764705882353,0.3258064516129032,0.20253164556962025,0.17701863354037267,408,256,24.019607843137255,4.289075630252101
fauci,Fauci email,2.0,0.08421840958605664,0.14011437908496732,0.04044117647058824,0.14306506280973483,0.20253164556962025,0.1770186335403727,34.361111111111065,0.8526563746625594,33.222222222222186,35.499999999999936,2.4821896446683245,0.06416275430359872,6,2000000,1552.7950310559006,True,0.1389433551198257,0.2965686274509804,0.029411764705882353,0.3258064516129032,0.20253164556962025,0.17701863354037267,408,256,24.019607843137255,4.289075630252101
fauci,Fauci email,2.5,0.09674564270152504,0.15686274509803924,0.04656862745098039,0.15582056290440846,0.20253164556962025,0.1770186335403727,39.47222222222222,0.8108017435578794,39.722222222222236,39.22222222222221,1.7517627806030602,0.0125874125874133,6,2000000,1552.7950310559006,True,0.1389433551198257,0.2965686274509804,0.029411764705882353,0.3258064516129032,0.20253164556962025,0.17701863354037267,408,256,24.019607843137255,4.289075630252101
fauci,Fauci email,3.0,0.12203159041394335,0.19444444444444442,0.061274509803921566,0.19250436551397046,0.20253164556962025,0.1770186335403727,49.7888888888889,0.7743573094216619,49.57777777777779,50.0,1.921772587103688,0.0084444444444442,6,2000000,1552.7950310559006,True,0.1389433551198257,0.2965686274509804,0.029411764705882353,0.3258064516129032,0.20253164556962025,0.17701863354037267,408,256,24.019607843137255,4.289075630252101
fauci,Fauci email,3.5,0.12935729847494554,0.19812091503267973,0.06862745098039215,0.20034431192157695,0.20253164556962025,0.1770186335403727,52.77777777777778,0.7393472485122398,52.16666666666669,53.388888888888886,2.863671993079969,0.0228928199791878,6,2000000,1552.7950310559006,True,0.1389433551198257,0.2965686274509804,0.029411764705882353,0.3258064516129032,0.20253164556962025,0.17701863354037267,408,256,24.019607843137255,4.289075630252101
fauci,Fauci email,4.0,0.13425925925925924,0.21200980392156862,0.06862745098039216,0.21455811224581064,0.20253164556962025,0.1770186335403727,54.77777777777777,0.7123802629411532,54.94444444444445,54.61111111111111,4.011172668041048,0.006066734074823226,6,2000000,1552.7950310559006,True,0.1389433551198257,0.2965686274509804,0.029411764705882353,0.3258064516129032,0.20253164556962025,0.17701863354037267,408,256,24.019607843137255,4.289075630252101
fauci,Fauci email,5.0,0.15046296296296297,0.2406045751633987,0.07352941176470588,0.2429096380971242,0.20253164556962025,0.1770186335403727,61.38888888888891,0.6652081770707521,61.05555555555561,61.72222222222221,1.93090524410919,0.010801080108009729,6,2000000,1552.7950310559006,True,0.1389433551198257,0.2965686274509804,0.029411764705882353,0.3258064516129032,0.20253164556962025,0.17701863354037267,408,256,24.019607843137255,4.289075630252101
dnc,DNC email,0.0,0.06353846153846153,0.11310897435897437,0.023749999999999997,0.09649383195575757,0.3712311557788945,0.35598503740648374,330.400000000001,1.0,333.00000000000296,327.7999999999991,17.04020300696413,0.01561561561562705,6,2000000,124.68827930174564,True,0.19514241314241268,0.3923076923076923,0.06134615384615385,0.4334887056292578,0.3712311557788945,0.3559850374064838,5200,2112,46.36538461538461,2.489601031657266
dnc,DNC email,2.0,0.16537927350427334,0.23455128205128203,0.10913461538461539,0.19899341909710996,0.3712311557788945,0.35598503740648374,859.9722222222243,0.7866625621979836,862.1777777777829,857.7666666666655,20.219658720300586,0.005116243105321979,6,2000000,124.68827930174564,True,0.19514241314241268,0.3923076923076923,0.06134615384615385,0.4334887056292578,0.3712311557788945,0.3559850374064838,5200,2112,46.36538461538461,2.489601031657266
dnc,DNC email,2.5,0.19577457264957246,0.2689423076923077,0.1370833333333333,0.2332665700902178,0.3712311557788945,0.35598503740648374,1018.0277777777792,0.7288858177234644,1021.9333333333362,1014.1222222222223,14.31380344757627,0.0076434644573494205,6,2000000,124.68827930174564,True,0.19514241314241268,0.3923076923076923,0.06134615384615385,0.4334887056292578,0.3712311557788945,0.3559850374064838,5200,2112,46.36538461538461,2.489601031657266
