dataset,theta_hat,Phi_obs,E_Phi,MCSE_Phi,Var_Phi,resid_sd,theta_newton,SE_theta,tau_int,ESS,rhat,wall_s,gof_s1_multi_model,gof_s1_multi_sd,gof_s1_multi_obs,gof_s1_multi_z,gof_r1_multi_model,gof_r1_multi_sd,gof_r1_multi_obs,gof_r1_multi_z,gof_s1_support_model,gof_s1_support_sd,gof_s1_support_obs,gof_s1_support_z
wiki,1.245714285714286,24.0,20.708277777777777,0.16577250672450988,16.97409258950617,0.7989689392160932,1.4396405415576912,0.24272064447671224,5.465344846796389,617.6771810581872,1.0185612215715472,13.299894094467163,0.03975188781014024,0.0071545925467424425,0.04638619201725998,0.9272791097153958,0.005226537216828479,0.0035156243120843225,0.006472491909385114,0.3544049596749832,0.04033517147952454,0.007289765625331878,0.04946996466431095,1.2530983373516256
fauci,4.289075630252101,56.68888888888888,57.08556666666668,0.3274862992779574,7.466503160370368,-0.14517079159705765,4.235947978758799,0.36596653437535576,48.2418331411845,69.6195131838878,1.0805473731738968,7.064183712005615,0.22120915032679742,0.013215419193334401,0.2965686274509804,5.702390217193627,0.07008578431372549,0.0051242345242800075,0.029411764705882353,-7.9375796355765225,0.221209469537638,0.013392471138471937,0.3258064516129032,7.810133095959735
radoslaw,1.1666400570250173,684.7591814618122,619.6727039682585,0.5357133528905932,357.39337133821,3.4428454005879487,1.3487544517320216,0.05289647762746008,2.456250751895677,1245.3216841217218,1.0014712125988416,248.2728579044342,0.13236339488995702,0.003599932079666489,0.17202124968378446,11.016278617540332,0.03369761362678134,0.0024655160659293233,0.024538325322539842,-3.7149578665548484,0.11560094537853535,0.0039870359057412345,0.2313497822931785,29.03130035723221
dnc,2.489601031657266,1014.740548340546,1017.4764500000095,1.3692107340007815,313.34788993455015,-0.15455643636296706,2.4808698362436474,0.05649195607172143,25.17451945844412,167.14222693224633,1.0407711618825939,116.96649122238159,0.2669394230769231,0.00434946170494477,0.3923076923076923,28.823858614099734,0.13782147435897435,0.004186292425998183,0.06134615384615385,-18.26803116712174,0.23082047099421202,0.005880500464914583,0.4334887056292578,34.46445346688526
higgs,3.302556192155135,740.2999999999996,740.4254777777778,0.2754510512555796,41.84477273469106,-0.01939752016248721,3.2995575433496134,0.15458928669246086,5.643505243518345,551.5086711873795,1.0018037749534243,230.92390084266663,0.08370073052113221,0.0007773158573727083,0.08699102618887736,4.23289405013066,0.010540972264615511,0.00016954913381533933,0.008973811122642086,-9.243109101815076,0.08006724173597854,0.0007726183355350251,0.08469328517061214,5.987488546243401
twitter,3.4178514896428815,2509.844818047448,2533.8231000000205,3.1249452080427997,950.7781260198227,-0.7776397855055726,3.3926318497538666,0.032431005150564594,43.46619091366895,97.36309429177538,1.1031442221772616,726.8989679813385,0.19250423011844334,0.002308693472278633,0.28204314720812185,38.783371705601716,0.13234877326565142,0.002083908453431402,0.07068527918781727,-29.59030852641243,0.1672851419737125,0.002489686795634389,0.2550389464386092,35.2469252834417
enron,2.35622643510975,2633.4255464514185,2621.7953128405684,3.4282235340448186,1661.78268412793,0.2852997056833695,2.363225084043773,0.02453086629465515,35.02782978462845,141.39562288226816,1.1041669064059314,3663.670124053955,0.06607845868960754,0.0009282785868170668,0.11488427981819131,52.576696071307516,0.030505720704247424,0.000756108388752018,0.01064033575396618,-26.273197395772478,0.05686246178119312,0.0009468628070400453,0.1253392173273479,72.31961698888308
