dataset,n_events,tokens,n_sweeps,tau_int,tau_by_chain,ESS,rhat,null_r2,null_sd,mcse,rel_mcse,sweeps_per_chain_for_ESS2000,est_minutes_for_ESS2000,phi_real,phi_fill,wall_s
fauci,408,1288,1553,2.2895121655050725,2.3;2.2;2.2;2.4,2039.4789743946053,0.9995663761669444,0.0355568353951022,0.0058892859774276,0.0001304076375961,0.0036675827909612,1532.7560827525365,0.2836645899729732,56.68888888888889,15.166666666666668,17.24466586112976
wiki,927,2372,1000,1.2185265016230802,1.1;1.5;1.1;1.3,2510.558241096716,0.999209895684596,0.0080299053098405,0.0026428505036537,5.27457469609318e-05,0.0065686636299798,859.26325081154,0.3447610037412085,24.0,9.0,24.07371687889099
radoslaw,7906,30318,1000,1.3012689675244138,1.3;1.4;1.4;1.2,2312.410830087648,1.0006289991966857,0.0370283634290212,0.0017706442819926,3.682127511030979e-05,0.0009944073056561,900.6344837622069,3.50719917099746,684.759181461813,305.7833333333333,233.6485600471497
higgs,16381,35227,1000,1.0634183389287446,1.2;1.0;1.0;1.1,2832.1784270627186,0.9997392306611586,0.0328893196046911,0.0004500235527857,8.456194016545908e-06,0.0002571106401161,781.7091694643723,2.71970694411517,740.3,533.3833333333333,208.75080275535583
dnc,5200,16040,1400,3.434462773282963,3.7;2.8;3.0;3.9;3.6;3.7,1862.9467796779152,1.0023677712939412,0.0639915214547363,0.0027422313567723,6.353365910799921e-05,0.0009928449529511,1494.8209244276543,3.5690876844866053,1014.7405483405483,309.76666666666665,200.56139206886292
twitter,15760,51481,1400,1.16087478709632,1.2;1.1;1.0;1.0;1.0;1.6,5585.302440945658,1.0008203812448,0.0113910445706765,0.0008301429994294,1.110783864387026e-05,0.0009751378440274,736.9582623654401,10.850187716774398,2509.8448180474497,183.66666666666663,1236.7264399528503
enron,57423,336454,1500,2.8157121109153085,3.1;3.0;2.4;2.6;2.9;2.9,2416.5912084881897,1.0002855415453122,0.007465705683694577,0.00032569711381442485,6.625403220213004e-06,0.0008874450053238999,1313.570703638436,100.03877433710085,2633.425546451425,420.09057107609743,6854.2101809978485
