dataset,n_events,real_r2
fauci,408,0.1389433551198257
wiki,927,0.025889967637540454
dnc,5200,0.19514241314241268
radoslaw,7906,0.08661259568198991
higgs,16381,0.04519260118429886
twitter,15760,0.15925411282026955
enron,57423,0.045860117835212696
