dataset,theta,stat,r2_multi,s1_multi,r1_multi,s1_support,graph_binary,graph_weighted,Phi,accept,projection_fixed,real_s1_multi,real_r1_multi,real_r2_multi,real_s1_support,real_r1_support,real_r2_support,real_s1_multi_macro,real_r1_multi_macro,real_r2_multi_macro,real_n_events,real_n_support_edges,real_n_teams,real_graph_binary,real_graph_weighted
enron,-1.0,r2,0.004037299585262212,0.010300750570328962,0.00023509743482576668,0.010001988488819743,0.18700601293347957,0.16422452995060247,231.83385408451653,0.9914076532936508,True,0.11488427981819131,0.01064033575396618,0.045860117835212696,0.1253392173273479,0.011970884374445205,0.05338145779024164,0.051596254804838,0.002709596165881297,0.01965582021779282,57423,39429,36720,0.18700601293347957,0.16422452995060247
enron,-0.5,r2,0.005047237039804663,0.01220765198613796,0.0004179509952458074,0.011813693312387113,0.18700601293347957,0.16422452995060247,289.82749253670795,0.9949617921269702,True,0.11488427981819131,0.01064033575396618,0.045860117835212696,0.1253392173273479,0.011970884374445205,0.05338145779024164,0.051596254804838,0.002709596165881297,0.01965582021779282,57423,39429,36720,0.18700601293347957,0.16422452995060247
enron,0.0,r2,0.007813479534970193,0.01720564930428574,0.0014105846089546002,0.01639232489391928,0.18700601293347957,0.16422452995060247,448.6734353365963,1.0,True,0.11488427981819131,0.01064033575396618,0.045860117835212696,0.1253392173273479,0.011970884374445205,0.05338145779024164,0.051596254804838,0.002709596165881297,0.01965582021779282,57423,39429,36720,0.18700601293347957,0.16422452995060247
enron,0.5,r2,0.011777712215460878,0.023448792295769988,0.003657071208400815,0.021250196485435816,0.18700601293347957,0.16422452995060247,676.3115685484148,0.9922764389269072,True,0.11488427981819131,0.01064033575396618,0.045860117835212696,0.1253392173273479,0.011970884374445205,0.05338145779024164,0.051596254804838,0.002709596165881297,0.01965582021779282,57423,39429,36720,0.18700601293347957,0.16422452995060247
enron,1.0,r2,0.018122701951057436,0.03277432387719206,0.007418630165613081,0.029748506149216203,0.18700601293347957,0.16422452995060247,1040.6599141355643,0.98187224845216,True,0.11488427981819131,0.01064033575396618,0.045860117835212696,0.1253392173273479,0.011970884374445205,0.05338145779024164,0.051596254804838,0.002709596165881297,0.01965582021779282,57423,39429,36720,0.18700601293347957,0.16422452995060247
enron,1.5,r2,0.026689538015322596,0.043963220312418366,0.013957821778729777,0.03868409852743758,0.18700601293347957,0.16422452995060247,1532.5933414538772,0.967705273134994,True,0.11488427981819131,0.01064033575396618,0.045860117835212696,0.1253392173273479,0.011970884374445205,0.05338145779024164,0.051596254804838,0.002709596165881297,0.01965582021779282,57423,39429,36720,0.18700601293347957,0.16422452995060247
enron,2.0,r2,0.03657119531998203,0.05670201835501454,0.021585427441965763,0.050125939205656715,0.18700601293347957,0.16422452995060247,2100.0277488593665,0.9500931687650789,True,0.11488427981819131,0.01064033575396618,0.045860117835212696,0.1253392173273479,0.011970884374445205,0.05338145779024164,0.051596254804838,0.002709596165881297,0.01965582021779282,57423,39429,36720,0.18700601293347957,0.16422452995060247
congress,-1.0,r2,0.0002167581114949536,0.00044028991397412453,2.03210729526519e-05,0.00041376939227237667,0.4618652606125739,0.4263591094470412,16.00000000000103,0.99933703505023,True,0.0249813723497934,0.0017340648919596288,0.010111197177935217,0.021927384264212854,0.001483700691918111,0.009278829847076777,0.008583578429318959,0.0003358414702551976,0.0033096395899368564,73815,70095,69234,0.4618652606125739,0.4263591094470412
congress,-0.5,r2,0.0004899636478583847,0.001016053647632595,0.0,0.0009903080269104824,0.4618652606125739,0.4263591094470412,36.16666666666802,0.9995739015629713,True,0.0249813723497934,0.0017340648919596288,0.010111197177935217,0.021927384264212854,0.001483700691918111,0.009278829847076777,0.008583578429318959,0.0003358414702551976,0.0033096395899368564,73815,70095,69234,0.4618652606125739,0.4263591094470412
congress,0.0,r2,0.0010115378536431168,0.0020456546772336247,2.03210729526519e-05,0.0020079540855078414,0.4618652606125739,0.4263591094470412,74.66666666666798,1.0,True,0.0249813723497934,0.0017340648919596288,0.010111197177935217,0.021927384264212854,0.001483700691918111,0.009278829847076777,0.008583578429318959,0.0003358414702551976,0.0033096395899368564,73815,70095,69234,0.4618652606125739,0.4263591094470412
congress,0.5,r2,0.001332159226896069,0.0026485131748289646,8.12842918106076e-05,0.0026178141441944663,0.4618652606125739,0.4263591094470412,98.33333333333448,0.9992264829670733,True,0.0249813723497934,0.0017340648919596288,0.010111197177935217,0.021927384264212854,0.001483700691918111,0.009278829847076777,0.008583578429318959,0.0003358414702551976,0.0033096395899368564,73815,70095,69234,0.4618652606125739,0.4263591094470412
congress,1.0,r2,0.002145002145002145,0.003955835534782903,0.000406421459053038,0.0038530033637606976,0.4618652606125739,0.4263591094470412,158.33333333333493,0.9979594733877551,True,0.0249813723497934,0.0017340648919596288,0.010111197177935217,0.021927384264212854,0.001483700691918111,0.009278829847076777,0.008583578429318959,0.0003358414702551976,0.0033096395899368564,73815,70095,69234,0.4618652606125739,0.4263591094470412
congress,1.5,r2,0.003910677594888121,0.006489195962880174,0.0014021540337329811,0.006335634151993041,0.4618652606125739,0.4263591094470412,288.66666666666924,0.9959240064328649,True,0.0249813723497934,0.0017340648919596288,0.010111197177935217,0.021927384264212854,0.001483700691918111,0.009278829847076777,0.008583578429318959,0.0003358414702551976,0.0033096395899368564,73815,70095,69234,0.4618652606125739,0.4263591094470412
congress,2.0,r2,0.006854975276027908,0.010682110682110682,0.0031971821445505658,0.010399241153552233,0.4618652606125739,0.4263591094470412,506.00000000000506,0.9927264344780105,True,0.0249813723497934,0.0017340648919596288,0.010111197177935217,0.021927384264212854,0.001483700691918111,0.009278829847076777,0.008583578429318959,0.0003358414702551976,0.0033096395899368564,73815,70095,69234,0.4618652606125739,0.4263591094470412
dblp,-1.0,r2,0.004728138160626522,0.010638438988154458,0.00011938397867006248,0.010719551096633185,0.06269533518826854,0.056271009255337366,356.4401515151569,0.9934061968173855,True,0.030588828312573785,0.0007693634180959581,0.013508971915593693,0.0312388864389661,0.0007823946967864916,0.013865943057800405,0.01444626389192892,0.00022077721840665958,0.006259387425008516,75387,70297,69182,0.06269533518826854,0.056271009255337366
dblp,-0.5,r2,0.005173064562614488,0.01154708371469882,0.00013928130844840622,0.011670392344795399,0.06269533518826854,0.056271009255337366,389.98181818182354,0.9962163896766469,True,0.030588828312573785,0.0007693634180959581,0.013508971915593693,0.0312388864389661,0.0007823946967864916,0.013865943057800405,0.01444626389192892,0.00022077721840665958,0.006259387425008516,75387,70297,69182,0.06269533518826854,0.056271009255337366
dblp,0.0,r2,0.005940880410616577,0.01307254566437184,0.00023876795734012495,0.013086380075409965,0.06269533518826854,0.056271009255337366,447.86515151515727,1.0,True,0.030588828312573785,0.0007693634180959581,0.013508971915593693,0.0312388864389661,0.0007823946967864916,0.013865943057800405,0.01444626389192892,0.00022077721840665958,0.006259387425008516,75387,70297,69182,0.06269533518826854,0.056271009255337366
dblp,0.5,r2,0.006744511452219686,0.014777083582049955,0.00033825460623184366,0.014929243945996793,0.06269533518826854,0.056271009255337366,508.4484848484897,0.9949428699119492,True,0.030588828312573785,0.0007693634180959581,0.013508971915593693,0.0312388864389661,0.0007823946967864916,0.013865943057800405,0.01444626389192892,0.00022077721840665958,0.006259387425008516,75387,70297,69182,0.06269533518826854,0.056271009255337366
dblp,1.0,r2,0.007919448775630875,0.016972422300927215,0.00045763858490190616,0.01702014547051365,0.06269533518826854,0.056271009255337366,597.0234848484913,0.9886421943387131,True,0.030588828312573785,0.0007693634180959581,0.013508971915593693,0.0312388864389661,0.0007823946967864916,0.013865943057800405,0.01444626389192892,0.00022077721840665958,0.006259387425008516,75387,70297,69182,0.06269533518826854,0.056271009255337366
dblp,1.5,r2,0.009333817300708133,0.019718253810338655,0.0007759958613554061,0.01967769599453479,0.06269533518826854,0.056271009255337366,703.6484848484906,0.9813483291655212,True,0.030588828312573785,0.0007693634180959581,0.013508971915593693,0.0312388864389661,0.0007823946967864916,0.013865943057800405,0.01444626389192892,0.00022077721840665958,0.006259387425008516,75387,70297,69182,0.06269533518826854,0.056271009255337366
dblp,2.0,r2,0.010625927788369568,0.02207940361070211,0.0009948664889171874,0.022082785282684182,0.06269533518826854,0.056271009255337366,801.0568181818239,0.9738147698621789,True,0.030588828312573785,0.0007693634180959581,0.013508971915593693,0.0312388864389661,0.0007823946967864916,0.013865943057800405,0.01444626389192892,0.00022077721840665958,0.006259387425008516,75387,70297,69182,0.06269533518826854,0.056271009255337366
twitter,-1.0,r2,0.0038388324873096444,0.0074555837563451775,0.00038071065989847715,0.00697356916828893,0.38046292976375445,0.33558011693634543,60.49999999999794,0.9840907061502002,True,0.28204314720812185,0.07068527918781727,0.15925411282026955,0.2550389464386092,0.05685377017586124,0.14567666303012342,0.11715486802027279,0.015104953947507013,0.05766334239417031,15760,12453,10667,0.38046292976375445,0.33558011693634543
twitter,-0.5,r2,0.007529610829103215,0.014498730964467004,0.0007614213197969543,0.013524744392006117,0.38046292976375445,0.33558011693634543,118.6666666666641,0.990427759972149,True,0.28204314720812185,0.07068527918781727,0.15925411282026955,0.2550389464386092,0.05685377017586124,0.14567666303012342,0.11715486802027279,0.015104953947507013,0.05766334239417031,15760,12453,10667,0.38046292976375445,0.33558011693634543
twitter,0.0,r2,0.01136844331641286,0.020526649746192893,0.0027601522842639597,0.018038902319757,0.38046292976375445,0.33558011693634543,179.16666666666387,1.0,True,0.28204314720812185,0.07068527918781727,0.15925411282026955,0.2550389464386092,0.05685377017586124,0.14567666303012342,0.11715486802027279,0.015104953947507013,0.05766334239417031,15760,12453,10667,0.38046292976375445,0.33558011693634543
twitter,0.5,r2,0.01751269035532995,0.030901015228426396,0.0050444162436548215,0.027083393093082636,0.38046292976375445,0.33558011693634543,275.99999999999784,0.98345264480474,True,0.28204314720812185,0.07068527918781727,0.15925411282026955,0.2550389464386092,0.05685377017586124,0.14567666303012342,0.11715486802027279,0.015104953947507013,0.05766334239417031,15760,12453,10667,0.38046292976375445,0.33558011693634543
twitter,1.0,r2,0.03048857868020305,0.04901649746192893,0.013991116751269036,0.04062710328176207,0.38046292976375445,0.33558011693634543,480.50000000000034,0.9588096369246273,True,0.28204314720812185,0.07068527918781727,0.15925411282026955,0.2550389464386092,0.05685377017586124,0.14567666303012342,0.11715486802027279,0.015104953947507013,0.05766334239417031,15760,12453,10667,0.38046292976375445,0.33558011693634543
twitter,1.5,r2,0.04589678510998308,0.06808375634517766,0.02674492385786802,0.055673316612901064,0.38046292976375445,0.33558011693634543,723.3333333333379,0.9245210688511523,True,0.28204314720812185,0.07068527918781727,0.15925411282026955,0.2550389464386092,0.05685377017586124,0.14567666303012342,0.11715486802027279,0.015104953947507013,0.05766334239417031,15760,12453,10667,0.38046292976375445,0.33558011693634543
twitter,2.0,r2,0.06720600676818951,0.09305203045685279,0.04454314720812183,0.07732446542537462,0.38046292976375445,0.33558011693634543,1059.166666666675,0.8751477297619312,True,0.28204314720812185,0.07068527918781727,0.15925411282026955,0.2550389464386092,0.05685377017586124,0.14567666303012342,0.11715486802027279,0.015104953947507013,0.05766334239417031,15760,12453,10667,0.38046292976375445,0.33558011693634543
