theta,n_steps,Phi_from_real,Phi_from_random,rel_gap
1.5,1400000,5901.361716791935,5611.980816010619,0.04903629275221376
1.5,5600000,5857.737009189591,5797.953884711818,0.010205839624412145
1.5,22400000,5842.453873654662,5787.713951545533,0.009369337489503764
2.0,1400000,6933.088659147829,6447.444765322376,0.07004726431482639
2.0,5600000,6858.9762531327815,6857.497786131997,0.00021555213871888326
2.0,22400000,6874.73130743522,6858.776399331686,0.0023208046089420484
2.5,1400000,7781.152046783576,7088.052297410177,0.08907418145875966
2.5,5600000,7897.9724310776555,7737.245802004998,0.020350365929389148
2.5,22400000,7830.323441178661,7912.014587940461,0.010324948956276482
