dataset,stat,theta,R_any,R_some,R_all,graph,Phi,projection_fixed,eff_sweeps,real_R_any,real_R_some,real_R_all,real_graph
Email-EU,pairs,-1.0,0.01301380847007769,0.006218166111012148,0.00011254501800720288,0.4673828429082983,175.0,True,15.0,0.303328611898017,0.17476249878186742,0.07698300283286119,0.4673828429082983
Email-EU,pairs,-0.5,0.025869813303427205,0.013138903032090107,0.0016816578823230393,0.4673828429082983,370.0,True,15.0,0.303328611898017,0.17476249878186742,0.07698300283286119,0.4673828429082983
Email-EU,pairs,0.0,0.05039149080460553,0.027719651685315774,0.006820490295270825,0.4673828429082983,775.0,True,15.0,0.303328611898017,0.17476249878186742,0.07698300283286119,0.4673828429082983
Email-EU,pairs,0.5,0.10141346636982819,0.06374842843841994,0.029029934704944853,0.4673828429082983,1898.0,True,15.0,0.303328611898017,0.17476249878186742,0.07698300283286119,0.4673828429082983
Email-EU,pairs,1.0,0.19773714762493486,0.14747392566008513,0.09807501485584824,0.4673828429082983,4964.0,True,15.0,0.303328611898017,0.17476249878186742,0.07698300283286119,0.4673828429082983
Email-EU,pairs,1.5,0.28283684844919665,0.21298101674649722,0.14571150097465885,0.4673828429082983,7183.0,True,15.0,0.303328611898017,0.17476249878186742,0.07698300283286119,0.4673828429082983
Email-EU,pairs,2.0,0.3379376929419529,0.2473628150686627,0.16477727587167645,0.4673828429082983,8370.0,True,15.0,0.303328611898017,0.17476249878186742,0.07698300283286119,0.4673828429082983
Email-EU,norm,-3.0,0.007488028775885057,0.0032649768547555096,0.0,0.4673828429082983,43.60263157894484,True,15.0,0.303328611898017,0.17476249878186742,0.07698300283286119,0.4673828429082983
Email-EU,norm,-1.5,0.018454646453983974,0.008970754780216757,0.0008997611610321581,0.4673828429082983,119.58333333332979,True,15.0,0.303328611898017,0.17476249878186742,0.07698300283286119,0.4673828429082983
Email-EU,norm,0.0,0.05039149080460553,0.027719651685315774,0.006820490295270825,0.4673828429082983,371.8595238095231,True,15.0,0.303328611898017,0.17476249878186742,0.07698300283286119,0.4673828429082983
Email-EU,norm,1.5,0.12357193403379184,0.08648883056548562,0.05158644898729412,0.4673828429082983,1166.0499999999954,True,15.0,0.303328611898017,0.17476249878186742,0.07698300283286119,0.4673828429082983
Email-EU,norm,3.0,0.23780292927758367,0.1909130031941092,0.14388109586266268,0.4673828429082983,2607.9666666666853,True,15.0,0.303328611898017,0.17476249878186742,0.07698300283286119,0.4673828429082983
Email-EU,norm,4.5,0.3084093347426402,0.24285511342045568,0.17567233330372622,0.4673828429082983,3337.1911236424485,True,15.0,0.303328611898017,0.17476249878186742,0.07698300283286119,0.4673828429082983
Email-EU,norm,6.0,0.35307279649491674,0.2641165214961561,0.17570155695848133,0.4673828429082983,3641.5169172932347,True,15.0,0.303328611898017,0.17476249878186742,0.07698300283286119,0.4673828429082983
Twitter,pairs,-1.0,0.0007273772401894623,0.00036368862009473113,0.0,0.38046292976375445,9.0,True,15.0,0.2550389464386092,0.1456766630301227,0.05685377017586124,0.38046292976375445
Twitter,pairs,-0.5,0.00306856026501804,0.00153428013250902,0.0,0.38046292976375445,38.0,True,15.0,0.2550389464386092,0.1456766630301227,0.05685377017586124,0.38046292976375445
Twitter,pairs,0.0,0.00839557442919651,0.004318833050621495,0.0002420916720464816,0.38046292976375445,107.0,True,15.0,0.2550389464386092,0.1456766630301227,0.05685377017586124,0.38046292976375445
Twitter,pairs,0.5,0.02090641747278963,0.011879255955624075,0.0029059012712251927,0.38046292976375445,299.0,True,15.0,0.2550389464386092,0.1456766630301227,0.05685377017586124,0.38046292976375445
Twitter,pairs,1.0,0.05980383976523876,0.04302219676265766,0.02501916795164081,0.38046292976375445,1196.0,True,15.0,0.2550389464386092,0.1456766630301227,0.05685377017586124,0.38046292976375445
Twitter,pairs,1.5,0.13636043475494586,0.10626253657661422,0.07206814633846123,0.38046292976375445,2984.0,True,15.0,0.2550389464386092,0.1456766630301227,0.05685377017586124,0.38046292976375445
Twitter,pairs,2.0,0.20322263541923533,0.15103330568616807,0.09504264488094846,0.38046292976375445,4232.0,True,15.0,0.2550389464386092,0.1456766630301227,0.05685377017586124,0.38046292976375445
Twitter,norm,-3.0,0.0004038772371344402,0.0002019386185672201,0.0,0.38046292976375445,2.499999999995584,True,15.0,0.2550389464386092,0.1456766630301227,0.05685377017586124,0.38046292976375445
Twitter,norm,-1.5,0.0033903260084442244,0.0016951630042221122,0.0,0.38046292976375445,20.999999999996483,True,15.0,0.2550389464386092,0.1456766630301227,0.05685377017586124,0.38046292976375445
Twitter,norm,0.0,0.00839557442919651,0.004318833050621495,0.0002420916720464816,0.38046292976375445,53.49999999999693,True,15.0,0.2550389464386092,0.1456766630301227,0.05685377017586124,0.38046292976375445
Twitter,norm,1.5,0.03245449435952499,0.020950057831372042,0.009445621303219097,0.38046292976375445,259.49999999998676,True,15.0,0.2550389464386092,0.1456766630301227,0.05685377017586124,0.38046292976375445
Twitter,norm,3.0,0.12136918811635665,0.09725000780359716,0.07295059196416606,0.38046292976375445,1205.1166666666431,True,15.0,0.2550389464386092,0.1456766630301227,0.05685377017586124,0.38046292976375445
Twitter,norm,4.5,0.2029634195606108,0.15217404807357474,0.0967714509655987,0.38046292976375445,1890.1499999999771,True,15.0,0.2550389464386092,0.1456766630301227,0.05685377017586124,0.38046292976375445
Twitter,norm,6.0,0.2641154152085028,0.18606902710789824,0.10338310229789752,0.38046292976375445,2310.0499999999993,True,15.0,0.2550389464386092,0.1456766630301227,0.05685377017586124,0.38046292976375445
Enron,pairs,-1.0,0.0038346989178626345,0.001291748269519239,0.0,0.18700601293347957,162.0,True,15.0,0.1253392173273479,0.05338145779024136,0.011970884374445205,0.18700601293347957
Enron,pairs,-0.5,0.005734425858026419,0.0022355806667035518,3.831711242240785e-05,0.18700601293347957,238.0,True,15.0,0.1253392173273479,0.05338145779024136,0.011970884374445205,0.18700601293347957
Enron,pairs,0.0,0.009802148553278666,0.004457831399795772,0.0006517601514228028,0.18700601293347957,425.0,True,15.0,0.1253392173273479,0.05338145779024136,0.011970884374445205,0.18700601293347957
Enron,pairs,0.5,0.02239971130483082,0.012157311627898395,0.0038844804238445324,0.18700601293347957,1148.0,True,15.0,0.1253392173273479,0.05338145779024136,0.011970884374445205,0.18700601293347957
Enron,pairs,1.0,0.05076689917988472,0.03259634910858699,0.017122230097712847,0.18700601293347957,3355.0,True,15.0,0.1253392173273479,0.05338145779024136,0.011970884374445205,0.18700601293347957
Enron,pairs,1.5,0.08728015083845449,0.05732830745364194,0.03246240687176927,0.18700601293347957,5844.0,True,15.0,0.1253392173273479,0.05338145779024136,0.011970884374445205,0.18700601293347957
Enron,pairs,2.0,0.11750989831696093,0.07270352516864297,0.03739238473354748,0.18700601293347957,7442.0,True,15.0,0.1253392173273479,0.05338145779024136,0.011970884374445205,0.18700601293347957
Enron,norm,-3.0,0.00324508042397364,0.0009672635080403812,0.0,0.18700601293347957,37.85533355532683,True,15.0,0.1253392173273479,0.05338145779024136,0.011970884374445205,0.18700601293347957
Enron,norm,-1.5,0.0049442183314113725,0.0017413342774943428,3.829950210647262e-05,0.18700601293347957,68.1512191025306,True,15.0,0.1253392173273479,0.05338145779024136,0.011970884374445205,0.18700601293347957
Enron,norm,0.0,0.009802148553278666,0.004457831399795772,0.0006517601514228028,0.18700601293347957,174.40930180929638,True,15.0,0.1253392173273479,0.05338145779024136,0.011970884374445205,0.18700601293347957
Enron,norm,1.5,0.029355361104559462,0.01816579447558532,0.00872486920280607,0.18700601293347957,711.0272633798836,True,15.0,0.1253392173273479,0.05338145779024136,0.011970884374445205,0.18700601293347957
Enron,norm,3.0,0.07084609812182935,0.050574233210670144,0.03220741820366649,0.18700601293347957,1981.67720232982,True,15.0,0.1253392173273479,0.05338145779024136,0.011970884374445205,0.18700601293347957
Enron,norm,4.5,0.10346895661713738,0.07107582712236182,0.04007144819268538,0.18700601293347957,2786.527012753356,True,15.0,0.1253392173273479,0.05338145779024136,0.011970884374445205,0.18700601293347957
Enron,norm,6.0,0.1283771639111561,0.08437228682866481,0.042418331790607694,0.18700601293347957,3308.784595813558,True,15.0,0.1253392173273479,0.05338145779024136,0.011970884374445205,0.18700601293347957
DBLP,pairs,-1.0,0.00855450991348837,0.003840004928873551,0.00012831754503133812,0.06269533518826854,612.0,True,15.0,0.0312388864389661,0.013865943057800452,0.0007823946967864916,0.06269533518826854
DBLP,pairs,-0.5,0.009604649528515629,0.004315059870722412,0.00012834682451129254,0.06269533518826854,687.0,True,15.0,0.0312388864389661,0.013865943057800452,0.0007823946967864916,0.06269533518826854
DBLP,pairs,0.0,0.012048025259354027,0.005404480161604583,0.00012832211705585746,0.06269533518826854,857.0,True,15.0,0.0312388864389661,0.013865943057800452,0.0007823946967864916,0.06269533518826854
DBLP,pairs,0.5,0.01638152266894782,0.0075835018275138034,0.0003635585970915312,0.06269533518826854,1185.0,True,15.0,0.0312388864389661,0.013865943057800452,0.0007823946967864916,0.06269533518826854
DBLP,pairs,1.0,0.02217516134753063,0.010563789376265,0.0009694052531193312,0.06269533518826854,1657.0,True,15.0,0.0312388864389661,0.013865943057800452,0.0007823946967864916,0.06269533518826854
DBLP,pairs,1.5,0.029081901429639123,0.014049963468085173,0.0014900936008060352,0.06269533518826854,2199.0,True,15.0,0.0312388864389661,0.013865943057800452,0.0007823946967864916,0.06269533518826854
DBLP,pairs,2.0,0.03706025567316159,0.017694693110025216,0.0016822810922443347,0.06269533518826854,2780.0,True,15.0,0.0312388864389661,0.013865943057800452,0.0007823946967864916,0.06269533518826854
DBLP,norm,-3.0,0.008029669222192358,0.0035667420159762775,0.00012836055720834272,0.06269533518826854,250.08181818182254,True,15.0,0.0312388864389661,0.013865943057800452,0.0007823946967864916,0.06269533518826854
DBLP,norm,-1.5,0.009263750143374255,0.004123143350077695,0.00012836604292889762,0.06269533518826854,289.0818181818223,True,15.0,0.0312388864389661,0.013865943057800452,0.0007823946967864916,0.06269533518826854
DBLP,norm,0.0,0.012048025259354027,0.005404480161604583,0.00012832211705585746,0.06269533518826854,379.0484848484899,True,15.0,0.0312388864389661,0.013865943057800452,0.0007823946967864916,0.06269533518826854
DBLP,norm,1.5,0.01830185610747847,0.00862023788578607,0.0006416694433053693,0.06269533518826854,604.5330086580148,True,15.0,0.0312388864389661,0.013865943057800452,0.0007823946967864916,0.06269533518826854
DBLP,norm,3.0,0.027138207928435448,0.013385047562710058,0.0015254982331732204,0.06269533518826854,938.8401515151568,True,15.0,0.0312388864389661,0.013865943057800452,0.0007823946967864916,0.06269533518826854
DBLP,norm,4.5,0.03660854293166774,0.01792540816035225,0.0016180205523061537,0.06269533518826854,1257.4234848484775,True,15.0,0.0312388864389661,0.013865943057800452,0.0007823946967864916,0.06269533518826854
DBLP,norm,6.0,0.04206324817069962,0.02032426865304526,0.001618369051371471,0.06269533518826854,1425.3913419913379,True,15.0,0.0312388864389661,0.013865943057800452,0.0007823946967864916,0.06269533518826854
Congress bills,pairs,-1.0,0.00018555075637441952,8.563879104554899e-05,0.0,0.4618652606125739,13.0,True,7.8,0.021927384264212854,0.009278829847076788,0.001483700691918111,0.4618652606125739
Congress bills,pairs,-0.5,0.0005139351428311751,0.0002498294559389802,0.0,0.4618652606125739,36.0,True,7.8,0.021927384264212854,0.009278829847076788,0.001483700691918111,0.4618652606125739
