base,n_steps,Phi_mean,r2_multi,Phi_spread
labelled,5600000,2889.955472013337,0.08091260385848019,134.12598162076392
labelled,11200000,2889.3965845987022,0.08089695620009246,2.565393876746839
labelled,22400000,2876.0545217209283,0.08052340682926697,6.361006683420783
unlabelled,5600000,2984.7100250625917,0.08356552972149374,152.79999999999154
unlabelled,11200000,2838.3345754090515,0.07946732859448026,32.974708830870895
unlabelled,22400000,2675.889786967359,0.0749192201743528,23.102380952355816
