base,theta,r2_multi,s1_multi,r1_multi,s1_support,graph_binary,graph_weighted,Phi,accept,move_rate,r2_sd,projection_fixed
labelled,-1.0,0.04561298779889229,0.08672340902091441,0.01454489458801131,0.05898011532574693,0.4673828429082983,0.3276372684703807,1629.1590852130178,0.923410177053996,0.47992098214285717,0.0003088028467731173,True
labelled,-0.5,0.05980828264069482,0.1106755886552622,0.02207632219951284,0.07502547898260598,0.4673828429082983,0.3276372684703807,2136.1724310776804,0.9564111338743897,0.4959613392857143,0.00016118774973099964,True
labelled,0.0,0.08006598749956981,0.13965338634263796,0.03748915082453733,0.09154469598741104,0.4673828429082983,0.3276372684703807,2859.716875522099,1.0,0.5176969642857143,0.0009044505600030242,True
labelled,0.5,0.10514478969773722,0.171850939328611,0.0578296049500238,0.10945491539378016,0.4673828429082983,0.3276372684703807,3755.4564536340417,0.9435646466060862,0.4879022321428571,0.0019412191340124271,True
labelled,1.0,0.13363222757643517,0.20544838592266987,0.08183778032869501,0.13171069380560996,0.4673828429082983,0.3276372684703807,4772.942272347501,0.8766283835032074,0.452596875,0.001100508174244244,True
labelled,1.5,0.1622082466549133,0.23584007615421226,0.11005963546770445,0.1518048267490264,0.4673828429082983,0.3276372684703807,5793.591945773467,0.8024041698091456,0.41422875000000003,0.0007992454774394114,True
labelled,2.0,0.19363886005482348,0.26903155360192627,0.1396673852787188,0.1758813174975388,0.4673828429082983,0.3276372684703807,6916.19916457807,0.728765637746205,0.37616705357142854,0.00036940116527756084,True
unlabelled,-1.0,0.035629339538616134,0.06904275275079094,0.011073158439958562,0.0347319085302457,0.4673828429082983,0.3276372684703807,1272.5731203007476,0.7415190061879491,0.38913937499999995,0.002580503881705009,True
unlabelled,-0.5,0.04895442125964996,0.09438082705714365,0.013956939272615283,0.04831697802833246,0.4673828429082983,0.3276372684703807,1748.5050641308906,0.7612966504816994,0.3986638392857143,0.0008311031932264554,True
unlabelled,0.0,0.08311376405568605,0.14637287566144974,0.03692919338130302,0.06258507243374528,0.4673828429082983,0.3276372684703807,2968.574310776893,0.780820222161204,0.4080566071428572,0.00046709783389797116,True
unlabelled,0.5,0.12659344030204578,0.196671052999972,0.07692415376431391,0.08199417774950478,0.4673828429082983,0.3276372684703807,4521.537907268095,0.7536884731468046,0.3932564285714286,0.0002612275151298721,True
unlabelled,1.0,0.16271713525210701,0.23612005487582943,0.11029761738107904,0.09822860341687507,0.4673828429082983,0.3276372684703807,5811.767919799409,0.7084195586835295,0.369685625,8.811961869842344e-05,True
unlabelled,1.5,0.19240865764377382,0.27111739507797405,0.13632163955539378,0.11744712155732115,0.4673828429082983,0.3276372684703807,6872.2600250625965,0.6530303423792989,0.3406102678571429,0.0017004707642220285,True
unlabelled,2.0,0.21911636119163752,0.2984293193717278,0.16331158831928774,0.133880736310806,0.4673828429082983,0.3276372684703807,7826.179072681651,0.5975730532987423,0.31144517857142856,0.0008321367576065025,True
