beta,R_part,R_part_sd,R_any,R_all,two_start_gap,obs_R_any,obs_R_part,obs_R_all,dataset
-1.0,0.013047503342287313,0.0002885750241441197,0.026841359773371105,0.0006019830028328612,0.017247253486016415,0.303328611898017,0.17476249878186725,0.07698300283286119,emaileu
-0.5,0.022181219370358215,0.0003150740609374925,0.04438739376770538,0.003151558073654391,0.009589131627035506,0.303328611898017,0.17476249878186725,0.07698300283286119,emaileu
0.0,0.03687300009170062,0.00020093127099720211,0.06644830028328612,0.011862606232294617,0.004936185718806977,0.303328611898017,0.17476249878186725,0.07698300283286119,emaileu
0.5,0.05888256382599613,0.0005201388510888969,0.09222733711048159,0.02816926345609065,0.0024273378559995233,0.303328611898017,0.17476249878186725,0.07698300283286119,emaileu
1.0,0.09072243741294486,0.000596148865111622,0.12919617563739377,0.058356940509915016,0.001604170028678765,0.303328611898017,0.17476249878186725,0.07698300283286119,emaileu
2.0,0.1742588907551831,0.0016464172162426339,0.2057188385269122,0.1402797450424929,0.01574565194888729,0.303328611898017,0.17476249878186725,0.07698300283286119,emaileu
3.0,0.2585261899727181,0.0034646439123389894,0.2884915014164306,0.22944405099150142,0.018604975008919472,0.303328611898017,0.17476249878186725,0.07698300283286119,emaileu
5.0,0.35378006718087424,0.013939369908719117,0.39210339943342776,0.3241501416430595,0.0659043420438661,0.303328611898017,0.17476249878186725,0.07698300283286119,emaileu
8.0,0.396761576116047,0.01584612165552008,0.4598618980169972,0.34930949008498585,0.06646800724372663,0.303328611898017,0.17476249878186725,0.07698300283286119,emaileu
