dataset,n_events,real_pct_dup,null_pct_dup_mean,null_pct_dup_sd,reps,n_steps
fauci,408,24.019607843137255,12.663398692810459,0.4165865615680373,3,2000000
wiki,927,8.414239482200648,3.2002876663070836,0.2542634955722933,3,2000000
dnc,5200,46.36538461538461,25.128205128205128,0.05047440944879416,3,2000000
radoslaw,7906,56.42549962054136,25.065351210051443,0.19385384825993135,3,2000000
higgs,16381,5.3598681399181975,4.128767067537594,0.033187852655109054,3,2000000
twitter,15760,20.983502538071065,2.7199661590524538,0.09272550853123074,3,2059240
emaileu,35717,60.46700450765742,35.01320566303628,0.1254674034829636,3,5578120
enron,57423,31.33587586855441,8.812961124752567,0.052904039101936896,3,13458160
