dataset,label,theta,r2_multi,s1_multi,r1_multi,s1_support,graph_binary,graph_weighted,Phi,accept,Phi_real_start,Phi_random_start,Phi_sd,two_start_gap,n_chains,n_steps,sweeps,projection_fixed,real_r2_multi,real_s1_multi,real_r1_multi,real_s1_support,real_graph_binary,real_graph_weighted,n_events,n_teams,pct_dup,theta_hat
fauci,Fauci email,0.0,0.0339052287581699,0.071078431372549,0.0024509803921568,0.0763312662190108,0.2025316455696202,0.1770186335403727,13.83333333333333,1.0,12.66666666666667,14.999999999999991,1.9930434571835651,0.1555555555555549,6,2000000,1552.7950310559006,True,0.1389433551198257,0.2965686274509804,0.0294117647058823,0.3258064516129032,0.2025316455696202,0.1770186335403726,408,256,24.019607843137255,4.289075630252101
fauci,Fauci email,2.0,0.0842184095860566,0.1401143790849673,0.0404411764705882,0.1430650628097348,0.2025316455696202,0.1770186335403727,34.361111111111065,0.8526563746625594,33.222222222222186,35.499999999999936,2.4821896446683245,0.0641627543035987,6,2000000,1552.7950310559006,True,0.1389433551198257,0.2965686274509804,0.0294117647058823,0.3258064516129032,0.2025316455696202,0.1770186335403726,408,256,24.019607843137255,4.289075630252101
fauci,Fauci email,2.5,0.096745642701525,0.1568627450980392,0.0465686274509803,0.1558205629044084,0.2025316455696202,0.1770186335403727,39.47222222222222,0.8108017435578794,39.72222222222224,39.22222222222221,1.7517627806030602,0.0125874125874133,6,2000000,1552.7950310559006,True,0.1389433551198257,0.2965686274509804,0.0294117647058823,0.3258064516129032,0.2025316455696202,0.1770186335403726,408,256,24.019607843137255,4.289075630252101
fauci,Fauci email,3.0,0.1220315904139433,0.1944444444444444,0.0612745098039215,0.1925043655139704,0.2025316455696202,0.1770186335403727,49.7888888888889,0.7743573094216619,49.57777777777779,50.0,1.921772587103688,0.0084444444444442,6,2000000,1552.7950310559006,True,0.1389433551198257,0.2965686274509804,0.0294117647058823,0.3258064516129032,0.2025316455696202,0.1770186335403726,408,256,24.019607843137255,4.289075630252101
fauci,Fauci email,3.5,0.1293572984749455,0.1981209150326797,0.0686274509803921,0.2003443119215769,0.2025316455696202,0.1770186335403727,52.77777777777778,0.7393472485122398,52.16666666666669,53.388888888888886,2.863671993079969,0.0228928199791878,6,2000000,1552.7950310559006,True,0.1389433551198257,0.2965686274509804,0.0294117647058823,0.3258064516129032,0.2025316455696202,0.1770186335403726,408,256,24.019607843137255,4.289075630252101
fauci,Fauci email,4.0,0.1342592592592592,0.2120098039215686,0.0686274509803921,0.2145581122458106,0.2025316455696202,0.1770186335403727,54.77777777777777,0.7123802629411532,54.94444444444445,54.61111111111111,4.011172668041048,0.0060667340748232,6,2000000,1552.7950310559006,True,0.1389433551198257,0.2965686274509804,0.0294117647058823,0.3258064516129032,0.2025316455696202,0.1770186335403726,408,256,24.019607843137255,4.289075630252101
fauci,Fauci email,5.0,0.1504629629629629,0.2406045751633987,0.0735294117647058,0.2429096380971242,0.2025316455696202,0.1770186335403727,61.38888888888891,0.6652081770707521,61.05555555555561,61.72222222222221,1.93090524410919,0.0108010801080097,6,2000000,1552.7950310559006,True,0.1389433551198257,0.2965686274509804,0.0294117647058823,0.3258064516129032,0.2025316455696202,0.1770186335403726,408,256,24.019607843137255,4.289075630252101
dnc,DNC email,0.0,0.0635384615384615,0.1131089743589743,0.0237499999999999,0.0964938319557575,0.3712311557788945,0.3559850374064837,330.400000000001,1.0,333.00000000000296,327.7999999999991,17.04020300696413,0.015615615615627,6,2000000,124.68827930174564,True,0.1951424131424126,0.3923076923076923,0.0613461538461538,0.4334887056292578,0.3712311557788945,0.3559850374064838,5200,2112,46.36538461538461,2.489601031657266
dnc,DNC email,2.0,0.1653792735042733,0.234551282051282,0.1091346153846153,0.1989934190971099,0.3712311557788945,0.3559850374064837,859.9722222222243,0.7866625621979836,862.1777777777829,857.7666666666655,20.219658720300583,0.0051162431053219,6,2000000,124.68827930174564,True,0.1951424131424126,0.3923076923076923,0.0613461538461538,0.4334887056292578,0.3712311557788945,0.3559850374064838,5200,2112,46.36538461538461,2.489601031657266
dnc,DNC email,2.5,0.1957745726495724,0.2689423076923077,0.1370833333333333,0.2332665700902178,0.3712311557788945,0.3559850374064837,1018.0277777777792,0.7288858177234644,1021.9333333333362,1014.1222222222224,14.31380344757627,0.0076434644573494,6,2000000,124.68827930174564,True,0.1951424131424126,0.3923076923076923,0.0613461538461538,0.4334887056292578,0.3712311557788945,0.3559850374064838,5200,2112,46.36538461538461,2.489601031657266
